Date,Location,Total points,Points flowering,New flowers,Total Flowers
19 Mar 20,5*2ag,3,0,0,
19 Mar 20,5*4a,9,5,2,
19 Mar 20,5*4as,5,1,1,
19 Mar 20,6*5a,1,1,1,
19 Mar 20,7*3as,5,0,0,
19 Mar 20,7*3a,5,2,2,
19 Mar 20,7*2a,1,1,0,
19 Mar 20,7*a,6,,0,
19 Mar 20,7*c,1,,0,
19 Mar 20,9*2a,3,1,1,
19 Mar 20,8*d,2,0,0,
19 Mar 20,8*4a,3,2,0,
19 Mar 20,8*4a2s,2,0,0,
19 Mar 20,10*as,2,0,0,
19 Mar 20,10*s,6,0,0,
19 Mar 20,11*g,2,0,0,
19 Mar 20,12*g,1,0,0,
19 Mar 20,12*2ag,9,1,0,
19 Mar 20,13*g,4,0,0,
19 Mar 20,15*2d,1,0,0,
19 Mar 20,17*a,1,0,0,
19 Mar 20,19*d,7,0,0,
19 Mar 20,20*a,3,0,0,
19 Mar 20,21*g,1,0,0,
19 Mar 20,23*3a,5,0,0,
20 Mar 20,3*2ag,8,3,3,
20 Mar 20,4*3a2g,10,0,0,
20 Mar 20,4*3a,9,2,1,
20 Mar 20,4*2a,8,1,0,
20 Mar 20,3*3g,2,0,0,
20 Mar 20,6*2a,1,0,0,
20 Mar 20,5*2a,1,1,1,
20 Mar 20,5*2ag,3,0,0,
20 Mar 20,5*4a,9,5,2,
20 Mar 20,6*5a,1,1,1,
20 Mar 20,5*4as,5,1,0,
20 Mar 20,7*3as,5,0,0,
20 Mar 20,7*3a,5,2,2,
20 Mar 20,7*2a,1,1,0,
20 Mar 20,7*a,6,0,0,
20 Mar 20,7*c,1,0,0,
20 Mar 20,9*2a,3,1,0,
20 Mar 20,8*d,2,0,0,
20 Mar 20,8*4a,3,2,1,
20 Mar 20,8*4a2s,2,0,0,
20 Mar 20,10*as,2,0,0,
20 Mar 20,10*s,6,0,0,
20 Mar 20,11*g,2,0,0,
20 Mar 20,12*g,1,0,0,
20 Mar 20,12*2ag,9,1,0,
20 Mar 20,13*g,4,0,0,
20 Mar 20,15*2d,1,0,0,
20 Mar 20,17*a,1,0,0,
20 Mar 20,19*d,7,0,0,
20 Mar 20,20*a,3,0,0,
20 Mar 20,21*g,1,0,0,
20 Mar 20,23*3a,5,0,0,
21 Mar 20,3*2ag,8,3,1,
21 Mar 20,4*3a2g,10,0,0,
21 Mar 20,4*3a,9,2,1,
21 Mar 20,4*2a,8,1,0,
21 Mar 20,3*3g,2,0,0,
21 Mar 20,6*2a,1,0,0,
21 Mar 20,5*2a,1,1,1,
21 Mar 20,5*2ag,3,0,0,
21 Mar 20,5*4a,9,5,4,
21 Mar 20,6*5a,1,1,1,
21 Mar 20,5*4as,5,1,1,
21 Mar 20,7*3as,5,0,0,
21 Mar 20,7*3a,5,2,0,
21 Mar 20,7*2a,1,1,1,
21 Mar 20,7*a,6,0,0,
21 Mar 20,7*c,1,0,0,
21 Mar 20,9*2a,3,1,0,
21 Mar 20,8*d,2,0,0,
21 Mar 20,8*4a,3,2,0,
21 Mar 20,8*4a2s,2,0,0,
21 Mar 20,10*as,2,0,0,
21 Mar 20,10*s,6,0,0,
21 Mar 20,12*2ag,9,1,1,
21 Mar 20,11*g,2,0,0,
21 Mar 20,12*g,1,0,0,
21 Mar 20,13*g,4,0,0,
21 Mar 20,15*2d,1,0,0,
21 Mar 20,17*a,1,0,0,
21 Mar 20,19*d,7,0,0,
21 Mar 20,20*a,3,1,1,
21 Mar 20,21*g,1,0,0,
21 Mar 20,23*3a,5,0,0,
22 Mar 20,3*2ag,8,3,1,
22 Mar 20,4*3a2g,11,0,0,
22 Mar 20,4*3a,9,2,1,
22 Mar 20,4*2a,8,1,0,
22 Mar 20,3*3g,2,0,0,
22 Mar 20,6*2a,1,0,0,
22 Mar 20,5*2a,1,1,1,
22 Mar 20,5*2ag,3,0,0,
22 Mar 20,5*4a,9,5,4,
22 Mar 20,6*5a,1,1,0,
22 Mar 20,5*4as,5,1,0,
22 Mar 20,7*3as,5,0,0,
22 Mar 20,7*3a,5,2,0,
22 Mar 20,7*2a,1,1,0,
22 Mar 20,7*a,6,0,0,
22 Mar 20,7*c,1,0,0,
22 Mar 20,9*2a,3,1,2,
22 Mar 20,8*d,2,0,0,
22 Mar 20,8*4a,3,2,0,
22 Mar 20,8*4a2s,2,0,0,
22 Mar 20,12*2ag,9,1,0,
22 Mar 20,10*as,2,0,0,
22 Mar 20,10*s,6,0,0,
22 Mar 20,11*g,2,0,0,
22 Mar 20,12*g,1,0,0,
22 Mar 20,13*g,4,0,0,
22 Mar 20,15*2d,1,0,0,
22 Mar 20,17*a,1,0,0,
22 Mar 20,19*d,7,0,0,
22 Mar 20,20*a,3,1,0,
22 Mar 20,21*g,1,0,0,
22 Mar 20,23*3a,5,0,0,
23 Mar 20,3*2ag,8,3,1,
23 Mar 20,4*3a2g,11,0,0,
23 Mar 20,4*3a,9,2,1,
23 Mar 20,4*2a,8,1,1,
23 Mar 20,3*3g,2,0,0,
23 Mar 20,6*2a,1,0,0,
23 Mar 20,5*2a,1,1,1,
23 Mar 20,5*2ag,3,0,0,
23 Mar 20,5*4a,9,5,3,
23 Mar 20,6*5a,1,1,1,
23 Mar 20,5*4as,5,1,1,
23 Mar 20,7*3as,5,0,0,
23 Mar 20,7*3a,5,2,0,
23 Mar 20,7*2a,1,1,1,
23 Mar 20,7*a,6,0,0,
23 Mar 20,7*c,1,0,0,
23 Mar 20,9*2a,3,1,0,
23 Mar 20,8*d,2,0,0,
23 Mar 20,8*4a,3,2,3,
23 Mar 20,8*4a2s,2,0,0,
23 Mar 20,12*2ag,9,1,0,
23 Mar 20,10*as,2,0,0,
23 Mar 20,10*s,6,0,0,
